date,total_value
2022-02-14 07:00:00,1029317815.5288376
2022-02-15 07:00:00,1035261166.5288376
2022-02-16 07:00:00,1035277710.5288376
2022-02-17 07:00:00,1039754512.5288376
2022-02-18 07:00:00,1033425235.5288376
2022-02-21 07:00:00,1031911280.5288376
2022-02-22 07:00:00,1035213760.5288376
2022-02-23 07:00:00,1035599686.5288376
2022-02-24 07:00:00,1022257558.0240064
2022-02-25 07:00:00,1023264054.0240064
2022-02-28 07:00:00,1026685913.0240064
2022-03-01 07:00:00,1023501133.0240064
2022-03-02 07:00:00,1008941585.0240064
2022-03-03 07:00:00,1029152059.0240064
2022-03-04 07:00:00,1030094134.0240064
2022-03-07 07:00:00,1029469632.0240064
2022-03-08 07:00:00,1016420719.0240064
2022-03-09 07:00:00,1020354440.0240064
2022-03-10 07:00:00,1023680715.3298018
2022-03-11 07:00:00,1016873105.3298018
2022-03-14 07:00:00,1008994635.3298018
2022-03-15 07:00:00,1010524435.3298018
2022-03-16 07:00:00,1010753905.3298018
2022-03-17 07:00:00,1009683045.3298018
2022-03-18 07:00:00,1012054235.3298018
2022-03-21 07:00:00,1013584035.3298018
2022-03-22 07:00:00,1013813505.3298018
2022-03-23 07:00:00,1013431055.3298018
2022-03-24 07:00:00,1011671785.3298018
2022-03-25 07:00:00,1011671785.3298018
2022-03-28 07:00:00,1009453575.3298018
2022-03-29 07:00:00,1009224105.3298018
2022-03-30 07:00:00,1007694305.3298018
2022-03-31 07:00:00,1005935035.3298018
2022-04-01 07:00:00,1008612185.3298018
2022-04-04 07:00:00,1009224105.3298018
2022-04-05 07:00:00,1010294965.3298018
2022-04-06 07:00:00,1009358686.6737943
2022-04-07 07:00:00,1009358686.6737943
2022-04-08 07:00:00,1009358686.6737943
2022-04-12 07:00:00,1009358686.6737943
2022-04-13 07:00:00,1009358686.6737943
2022-04-14 07:00:00,1009358686.6737943
2022-04-15 07:00:00,1009358686.6737943
2022-04-18 07:00:00,1009358686.6737943
2022-04-19 07:00:00,1009358686.6737943
2022-04-20 07:00:00,1009358686.6737943
2022-04-21 07:00:00,1009358686.6737943
2022-04-22 07:00:00,1009358686.6737943
2022-04-25 07:00:00,1009358686.6737943
2022-04-26 07:00:00,1009358686.6737943
